web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,runtime,genres,languages,countries,overview
https://www.nytimes.com/2020/02/13/movies/you-go-to-my-head-review.html,A mysterious architect persuades an amnesiac that she’s his wife in this elusive romance set in the Sahara.,The New York Times,"subject: Movies; creative_works: You Go to My Head (Movie); persons: de Clercq, Dimitri;",2020-02-13T12:00:05+0000,292,‘You Go to My Head’ Review: Untrue Love,Critic’s Pick,,Designing a Love Story,,,,By Jeannette Catsoulis,,You Go to My Head,,,nan,nan,nan,
https://www.nytimes.com/2020/02/12/movies/ordinary-love-review.html,Lesley Manville and Liam Neeson play a married couple facing a cancer diagnosis.,The New York Times,"subject: Movies; creative_works: Ordinary Love (Movie); persons: Neeson, Liam; persons: Manville, Lesley; persons: D'Sa, Lisa Barros; persons: Leyburn, Glenn;",2020-02-12T19:46:45+0000,569,‘Ordinary Love’ Review: In Sickness and in Health,,,Old-Sweater Lives,,,,By A.O. Scott,,Ordinary Love,2019-12-06,92.0,"Drama, Romance",English,"Ireland, United Kingdom",An extraordinary look at the lives of a middle-aged couple in the midst of the wife's breast cancer diagnosis.
https://www.nytimes.com/2020/02/11/movies/to-all-the-boys-ps-i-still-love-you-review.html,The second installment in Netflix’s ’80s-style teen romance trilogy asks the question John Hughes left unanswered.,The New York Times,"subject: Movies; persons: Condor, Lana; persons: Centineo, Noah; creative_works: To All the Boys: PS I Still Love You (Movie); persons: Fimognari, Michael;",2020-02-11T18:33:41+0000,654,"‘To All the Boys: P.S. I Still Love You’ Review: Bliss, for Now",Streaming Movie Review,,"Follow Your Bliss While It Lasts, Kids",,,,By Amy Nicholson,,To All the Boys: P.S. I Still Love You,2020-02-03,102.0,"Romance, Comedy",English,United States of America,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.
https://www.nytimes.com/2020/01/09/movies/the-woman-who-loves-giraffes-review.html,"This warm documentary uses one woman’s singular passion to fuel a tale of zoological discovery, blatant sexism and environmental alarm.",The New York Times,"subject: Documentary Films and Programs; subject: Giraffes; creative_works: The Woman Who Loves Giraffes (Movie); persons: Dagg, Anne Innis; persons: Reid, Alison (Filmmaker);",2020-01-09T12:00:04+0000,279,‘The Woman Who Loves Giraffes’ Review: Crackers for Animals,,,A Special Spot  In Her Heart,,,,By Jeannette Catsoulis,,The Woman Who Loves Giraffes,2018-10-03,81.0,Documentary,,"Canada, South Africa, United States of America","Dr. Anne Innis Dagg re-traces the steps of her groundbreaking 1956 journey to South Africa to study giraffes in the wild. Now, at 85 years old, Anne sees a startling contrast between the world of giraffes she once knew and the one it has become. Weaving through the past and present, her harrowing journey gives us an intimate look into the factors that destroyed her career and the forces that brought her back."
https://www.nytimes.com/2019/11/26/movies/queen-and-slim-review.html,Daniel Kaluuya and Jodie Turner-Smith star in Melina Matsoukas’s dreamy but intense outlaw romance.,The New York Times,"subject: Movies; creative_works: Queen & Slim (Movie); persons: Matsoukas, Melina; persons: Waithe, Lena; persons: Kaluuya, Daniel; persons: Turner-Smith, Jodie;",2019-11-26T17:41:50+0000,799,‘Queen & Slim’ Review: Love on the Run,critic’s pick,,Love Simmers Inside a Cauldron,,,,By A.O. Scott,,Queen & Slim,2019-11-27,131.0,"Drama, Romance, Crime","English, Italian","Canada, United States of America","While on a forgettable first date together in Ohio, a black man and a black woman are pulled over for a minor traffic infraction. The situation escalates, with sudden and tragic results."
https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies; persons: Baumbach, Noah; creative_works: Marriage Story (Movie); persons: Driver, Adam; persons: Johansson, Scarlett; persons: Alda, Alan; persons: Dern, Laura; persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,,Marriage Story,2019-09-28,137.0,Drama,English,United Kingdom,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes."
https://www.nytimes.com/2019/10/17/movies/cyrano-my-love-review.html,This superficial take on the writing and initial staging of “Cyrano de Bergerac” is a whirlwind of soapy declarations and backstage chaos.,The New York Times,"subject: Movies; creative_works: Cyrano, My Love (Movie); persons: Michalik, Alexis;",2019-10-17T11:00:03+0000,291,"‘Cyrano, My Love’ Review: A Nose for Romance",,,"Cyrano, My Love",,,,By Jeannette Catsoulis,,"Cyrano, My Love",2018-11-10,113.0,"Comedy, History","French, Russian","Belgium, France","Paris, France, December 1897. The young playwright Edmond Rostand feels like a failure. Inspiration has abandoned him. Married and father of two children, desperate and penniless, he persuades the great actor Constant Coquelin to perform the main role in his new play. But there is a problem: Coquelin wants to premiere it at Christmas and Edmond has not written a single word."
https://www.nytimes.com/2019/10/03/movies/pretenders-review.html,"Directed by James Franco and featuring James Franco, this film indulges in a distasteful brand of nostalgia.",The New York Times,"subject: Movies; persons: Franco, James; creative_works: Pretenders (Movie);",2019-10-03T11:00:07+0000,276,"‘Pretenders’ Review: A Little New Wave Love, a Lot of Misogyny",,,Pretenders,,,,By Glenn Kenny,,Pretenders,2019-09-27,95.0,Drama,English,United States of America,"A love triangle involving a photographer, a director and an actress."
https://www.nytimes.com/2019/09/26/movies/first-love-review.html,The prolific director Takashi Miike delivers an unusually satisfying Japanese genre romp.,The New York Times,"subject: Movies; persons: Miike, Takashi; creative_works: First Love (Movie);",2019-09-26T11:00:06+0000,398,‘First Love’ Review: Eluding Assassins With the Help of a Boxer,Critic’s Pick,,"Assassin Variations, by Way of Japan",,,,By Glenn Kenny,,First Love,2019-05-31,108.0,"Crime, Action, Comedy","Mandarin, Japanese","Japan, United Kingdom","Set over one night in Tokyo, we follow Leo, a young boxer down on his luck as he meets his ‘first love’ Monica, a call-girl and an addict but still innocent. But, little does Leo know, Monica is unwittingly caught up in a drug-smuggling scheme, and the two are pursued through the night by a corrupt cop, a yakuza, his nemesis, and a female assassin sent by the Chinese Triads. All their fates intertwine in spectacular Miike style, at his most fun and anarchic."
https://www.nytimes.com/2019/09/19/movies/loro-review.html,Toni Servillo plays the former Italian Prime Minister Silvio Berlusconi in Paolo Sorrentino’s extravagant portrait.,The New York Times,"subject: Movies; creative_works: Loro (Movie); persons: Servillo, Toni; persons: Sorrentino, Paolo; persons: Berlusconi, Silvio; glocations: Italy;",2019-09-19T17:27:07+0000,820,"‘Loro’ Review: A Corrupt Leader, and the People Who Love Him",,,Corruption and Charisma Personified,,,,By A.O. Scott,,Loro,2018-09-13,157.0,Drama,Italian,"France, Italy","Internationally released Director's Cut of ""Loro 1"" and ""Loro 2"", which were released separately as two movies in Italy. The film talks about the group of businessmen and politicians – the Loro (Them) from the title – who live and act near to media tycoon and politician Silvio Berlusconi in the years between 2006 and 2009."
https://www.nytimes.com/2019/08/29/movies/falling-inn-love-review.html,"It’s hard to find a reliable, talented, reasonably priced, eco-friendly contractor these days.",The New York Times,"subject: Movies; organizations: Netflix Inc; persons: Kumble, Roger; persons: Milian, Christina; persons: Demos, Adam; creative_works: Falling Inn Love (Movie);",2019-08-29T14:56:44+0000,374,‘Falling Inn Love’ Review: A Prize That Needs Some Work,Streaming Movie Review,,A Fine Romance to Watch While Sorting Socks,,,,By Helen T. Verongos,,Falling Inn Love,2019-08-29,98.0,"Romance, Comedy",English,United States of America,"When a San Francisco exec wins a New Zealand inn, she ditches city life to remodel and flip the rustic property with help from a handsome contractor."
https://www.nytimes.com/2019/08/22/movies/hot-air-review.html,Steve Coogan stars in this cumbersome political comedy.,The New York Times,"subject: Movies; persons: Coogan, Steve; persons: Coraci, Frank; creative_works: Hot Air (Movie); persons: Campbell, Neve;",2019-08-22T15:50:09+0000,266,‘Hot Air’ Review: A Right-Wing Radio Host Learns to Love Again,,,Hot Air,,,,By Bilge Ebiri,,Hot Air,2018-04-10,99.0,Drama,English,United States of America,A right-wing talk show host's life takes a sudden turn when his 16-year-old niece comes crashing into his life.
https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"subject: Documentary Films and Programs; creative_works: Love, Antosha (Movie); persons: Price, Garret; persons: Yelchin, Anton;",2019-08-08T09:00:10+0000,319,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",Critic’s Pick,,"Love, Antosha",,,,By Glenn Kenny,,"Love, Antosha",2019-08-02,92.0,Documentary,"English, Russian",United States of America,"From a prolific career in film and television, Anton Yelchin left an indelible legacy as an actor. Through his journals and other writings, his photography, the original music he wrote, and interviews with his family, friends, and colleagues, this film looks not just at Anton's impressive career, but at a broader portrait of the man."
